DatasetIdentifier,Publisher,SourceRepository,YearPublished
snd0219-1,Religionssociologiska institutet,DORIS,1987
snd0220-1,Religionssociologiska institutet,DORIS,1987
snd0260-1,University of Gothenburg,DORIS,1991
snd0260-2,University of Gothenburg,DORIS,1991
snd0260-3,University of Gothenburg,DORIS,1991
snd0260-4,University of Gothenburg,DORIS,1991
snd0260-5,University of Gothenburg,DORIS,1991
snd0260-6,University of Gothenburg,DORIS,1991
snd0274-1,University of Gothenburg,DORIS,1991
snd0275-1,University of Gothenburg,DORIS,1991
2024-346,Uppsala University,DORIS,2021
2024-377,Uppsala University,DORIS,2022
2024-301,Uppsala University,DORIS,2020
2024-261,Royal Institute of Technology,DORIS,2019
2024-245,Jönköping University,DORIS,2018
2024-249,Linköping University,DORIS,2018
2024-281,Umeå University,DORIS,2019
2024-308,Linköping University,DORIS,2020
2024-348,Luleå University of Technology,DORIS,2022
2024-322,Linköping University,DORIS,2021
snd0170-1,Uppsala University,DORIS,1983
2024-398,Uppsala University,DORIS,2023
snd0146-1,Uppsala University,DORIS,1984
2024-395,Stockholm University of the Arts,DORIS,2023
2024-264,Royal Institute of Technology,DORIS,2019
2024-330,Uppsala University,DORIS,2021
2024-408,Uppsala University,DORIS,2024
snd0126-1,Uppsala University,DORIS,1984
2024-409,Uppsala University,DORIS,2024
snd0124-1,Uppsala University,DORIS,1984
2024-406,Uppsala University,DORIS,2024
2024-358,Uppsala University,DORIS,2022
2024-304,Uppsala University,DORIS,2020
2024-303,Uppsala University,DORIS,2020
2024-317,Uppsala University,DORIS,2020
2024-181,Jönköping University,DORIS,2016
2024-183,Linköping University,DORIS,2016
snd0102-1,Uppsala University,DORIS,1983
2024-244,Linköping University,DORIS,2018
2024-184,Linköping University,DORIS,2016
2024-402,Linköping University,DORIS,2023
snd0038-1,Nordic Institute for Studies in Urban and Regional Planning,DORIS,2025
snd0994-1,Lund University,DORIS,2016
snd1056-1,University of Gothenburg,DORIS,2018
snd2273-1,Uppsala University,DORIS,2012
snd0920-1,Swedish Institute in Rome,DORIS,2012
snd2318-1,Uppsala University,DORIS,2012
snd2317-1,Uppsala University,DORIS,2012
snd2259-1,Uppsala University,DORIS,2012
snd2215-1,Uppsala University,DORIS,2012
snd2210-1,Uppsala University,DORIS,2012
