URL,SourceRepository,YearPublished,Publisher1
https://researchdata.se/en/catalogue/dataset/2022-114-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-107-1,DORIS,2024,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-12-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-114-2,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-117-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-123-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-122-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-127-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-128-1,DORIS,2022,Linköping University
https://researchdata.se/en/catalogue/dataset/2022-134-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-130-1,DORIS,2022,Lund University
https://researchdata.se/en/catalogue/dataset/2022-131-3,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-129-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-157-1,DORIS,2022,Uppsala University
https://researchdata.se/en/catalogue/dataset/2022-137-1,DORIS,2022,Lund University
https://researchdata.se/en/catalogue/dataset/2022-155-1,DORIS,2022,Institute for Language and Folklore
https://researchdata.se/en/catalogue/dataset/2022-136-1,DORIS,2022,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2022-144-1,DORIS,2023,Linnaeus University
https://researchdata.se/en/catalogue/dataset/2022-169-1,DORIS,2023,Swedish Defence University
https://researchdata.se/en/catalogue/dataset/2022-163-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-175-1,DORIS,2022,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2022-193-1,DORIS,2022,Sveriges Television
https://researchdata.se/en/catalogue/dataset/2022-170-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-178-1,DORIS,2023,Halmstad University
https://researchdata.se/en/catalogue/dataset/2022-196-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-121-1,DORIS,2023,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2022-120-1,DORIS,2022,Uppsala University
https://researchdata.se/en/catalogue/dataset/2022-195-1,DORIS,2023,Swedish Institute of Space Physics
https://researchdata.se/en/catalogue/dataset/2022-190-1,DORIS,2023,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2022-198-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-215-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-218-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-226-1,DORIS,2023,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-230-1,DORIS,2023,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-23-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-197-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-241-1,DORIS,2023,Institute for Language and Folklore
https://researchdata.se/en/catalogue/dataset/2022-247-1,DORIS,2022,Uppsala University
https://researchdata.se/en/catalogue/dataset/2022-245-1,DORIS,2023,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-246-1,DORIS,2023,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-249-1,DORIS,2023,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2022-254-1,DORIS,2024,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2022-252-1,DORIS,2023,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-251-1,DORIS,2022,Institute for Language and Folklore
https://researchdata.se/en/catalogue/dataset/2022-260-1,DORIS,2023,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-248-1,DORIS,2022,Lund University
https://researchdata.se/en/catalogue/dataset/2022-265-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-261-1,DORIS,2023,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2022-26-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-29-1,DORIS,2022,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2022-30-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-37-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-258-1,DORIS,2023,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-38-1,DORIS,2023,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2022-39-1,DORIS,2022,Uppsala University
https://researchdata.se/en/catalogue/dataset/2022-46-1,DORIS,2022,Jönköping University
https://researchdata.se/en/catalogue/dataset/2022-4-1,DORIS,2022,RISE Research Institutes of Sweden
https://researchdata.se/en/catalogue/dataset/2022-47-1,DORIS,2022,Lund University
https://researchdata.se/en/catalogue/dataset/2022-40-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-45-1,DORIS,2022,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2022-53-1,DORIS,2022,Lund University
https://researchdata.se/en/catalogue/dataset/2022-50-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-52-1,DORIS,2022,Linnaeus University
https://researchdata.se/en/catalogue/dataset/2022-56-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-57-1,DORIS,2022,Lund University
https://researchdata.se/en/catalogue/dataset/2022-61-1,DORIS,2024,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2022-60-1,DORIS,2024,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2022-71-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-75-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-55-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-63-1,DORIS,2022,Stockholm University
https://researchdata.se/en/catalogue/dataset/2022-62-1,DORIS,2024,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2022-86-3,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-86-2,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2022-87-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-91-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-89-1,DORIS,2022,Jönköping University
https://researchdata.se/en/catalogue/dataset/2022-93-1,DORIS,2022,Södertörns högskola
https://researchdata.se/en/catalogue/dataset/2022-91-2,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-98-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-9-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2023-101-1,DORIS,2023,Sveriges Television
https://researchdata.se/en/catalogue/dataset/2023-102-1,DORIS,2023,Stockholm University
https://researchdata.se/en/catalogue/dataset/2022-97-1,DORIS,2022,Lund University
https://researchdata.se/en/catalogue/dataset/2023-105-1,DORIS,2024,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2023-106-1,DORIS,2023,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2022-86-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2023-10-1,DORIS,2024,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2023-112-1,DORIS,2023,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2023-110-1,DORIS,2023,Södertörns högskola
https://researchdata.se/en/catalogue/dataset/2023-107-1,DORIS,2024,Uppsala University
https://researchdata.se/en/catalogue/dataset/2023-11-1,DORIS,2024,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2023-118-1,DORIS,2023,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2023-115-1,DORIS,2023,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2023-114-1,DORIS,2023,University of Skövde
https://researchdata.se/en/catalogue/dataset/2023-12-1,DORIS,2024,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2023-120-1,DORIS,2023,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2023-121-1,DORIS,2023,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2023-122-1,DORIS,2023,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2023-143,DORIS,2023,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2023-126-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2023-127-1,DORIS,2024,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2023-13-1,DORIS,2024,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2023-145,DORIS,2023,Lund University
https://researchdata.se/en/catalogue/dataset/2023-148,DORIS,2023,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2023-161,DORIS,2023,Institute for Language and Folklore
https://researchdata.se/en/catalogue/dataset/2023-150,DORIS,2023,Uppsala University
https://researchdata.se/en/catalogue/dataset/2023-123-1,DORIS,2024,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2023-151,DORIS,2023,Institute for Language and Folklore
https://researchdata.se/en/catalogue/dataset/2023-162,DORIS,2023,Institute for Language and Folklore
https://researchdata.se/en/catalogue/dataset/2023-155,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2023-160,DORIS,2023,Institute for Language and Folklore
https://researchdata.se/en/catalogue/dataset/2023-167,DORIS,2023,Södertörns högskola
https://researchdata.se/en/catalogue/dataset/2023-170,DORIS,2024,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2023-17-1,DORIS,2023,Luleå University of Technology
